"","gname","vicinity","crit1","crit2","crit3","doubtterr","multiple","success","suicide","ingroup","guncertain1","nperps","nperpcap","claimed","nkill","nkillus","nkillter","nwound","nwoundus","nwoundte","property","ransom","Assasination","Hostage","Bombing","Facility","Assault","Unknowntype","barricade","unarmedattack","Hijack","Biological","Chemical","Radiological","Nuclear","Firearm","Explosives","Fakeweapons","Incendiary","Melee","Vehicle","Sabotage","Otherweapons","Unknownweapon","NorthAm","CentralAm","SouthEastAsia","EastAsia","WesternEurope","Subsaharan","SouthAm","SouthAsia","CentralAsia","MiddleEast","Oceania","EasternEurope","nhrs","ndays","Business","Government","Police","Military","Abortionrelated","Airports","Diplomatic","Educational","Food","Journalist","Maritime","NGO","Othertarg","PrivateCitizen","Religious","Telecom","Terrorists","Tourist","Transportation","Unknowntarg","Utilities","PoliticalParty"
"783","Commando Heinz Neumann",0,1,1,1,0,0,0,0,5066,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"784","Commando Internacionalista Simon Bolivar",0,1,1,1,0,0,0,0,4658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"785","Commandos",0,9,9,8,-71,0,6,0,2839,1,24,0,0,5,0,0,1,0,0,8,0,1,1,1,2,2,1,1,0,0,0,0,0,0,4,0,0,2,0,0,0,0,3,0,1,0,0,2,0,6,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0
"786","Commandos Against Self Destruction of the Universe",0,1,1,1,0,0,1,0,3645,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"787","Commandos for A Popular alternative",0,4,4,4,0,0,4,0,1898,0,40,0,0,38,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"788","Commandos for the Defense of Western Civilization",0,1,1,1,0,0,1,0,3908,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"789","Commandos of France",0,3,3,3,0,0,3,0,2681,0,0,0,0,0,0,0,1,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"790","Committee for a National Drive for Peace and Democracy",0,1,1,0,1,0,1,0,1627,0,0,0,0,18,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"791","Committee for Direct Action Against War",0,2,2,2,0,0,2,0,1787,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"792","Committee for the Defense of Italian Workers in France",0,1,1,1,0,0,1,0,4460,0,8,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,89,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"793","Committee for the Elimination of Killer Collaborators",0,1,1,1,0,0,1,0,1771,0,0,0,0,1,0,0,50,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"794","Committee for the Safeguard of the Islamic Revolution",0,1,1,1,0,0,0,0,3310,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"795","Committee of action against bull fights",0,1,1,1,0,0,1,0,3828,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"796","Committee of Coordination",0,4,4,4,0,0,4,0,100013,3,0,0,0,6,0,0,21,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"797","Committee of Solidarity with Arab and Middle East Political Prisoners (CSPPA)",0,10,10,9,1,0,9,0,2677,1,1,0,0,4,0,1,118,0,0,9,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,3,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
"798","Commune 1",0,1,1,1,0,0,1,0,4691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"799","Communist Anti-Imperialistic Revolutionaries",0,1,1,1,0,0,1,0,4799,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"800","Communist Anti-Nuclear Front",0,5,5,5,0,0,5,0,3943,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"801","Communist Armed Nucleus",0,1,1,1,0,0,0,0,3677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"802","Communist Attack Brigades",0,1,1,1,0,0,1,0,5013,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"803","Communist Attack Units",0,1,1,1,0,0,1,0,4056,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"804","Communist Brigade Dante Dimani",0,1,1,1,0,0,1,0,3739,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"805","Communist Brigades",0,1,1,1,0,0,1,0,4007,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"806","Communist Combat Unit",0,2,2,2,0,0,2,0,4526,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"807","Communist Combattant Cells (CCC) (Belgium)",0,21,21,21,0,0,21,0,2340,2,4,0,0,3,0,0,15,3,0,21,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,10,3,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0
"808","Communist Fighters Association",0,1,1,1,0,0,1,0,5014,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"809","Communist Fighters Group",0,1,1,1,0,0,1,0,3811,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"810","Communist Fighting Corunim- Maria Anna Maria",0,1,1,1,0,0,1,0,3690,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
